Book0000030217;2023/07/21;2023/07/22;AdriRamos278;50;224.400
Book0000030199;2023/07/21;2023/07/23;MartRibeiro1463;49;448.800
Book0000030197;2023/07/21;2023/07/24;GabrieGomes;52;673.200
Book0000027575;2023/07/18;2023/07/22;RafaeEsteves-Simões1918;50;897.600
Book0000027569;2023/07/18;2023/07/22;JoeTavares;49;897.600
Book0000027565;2023/07/18;2023/07/19;SalTavares159;51;224.400
Book0000027559;2023/07/18;2023/07/21;BeMatias;51;673.200
Book0000027557;2023/07/18;2023/07/20;SarAzevedo729;50;448.800
Book0000027556;2023/07/18;2023/07/21;RuMendes;49;673.200
Book0000027554;2023/07/18;2023/07/22;BrVicente-Alves;52;897.600
Book0000027541;2023/07/18;2023/07/20;ÉriSoares1545;52;448.800
Book0000027539;2023/07/18;2023/07/21;JLoureiro;49;673.200
Book0000027532;2023/07/18;2023/07/19;JuliMaia1685;50;224.400
Book0000027529;2023/07/18;2023/07/22;EdgFaria-Mota1014;51;897.600
Book0000027528;2023/07/18;2023/07/20;GTorres1871;50;448.800
Book0000027525;2023/07/18;2023/07/19;MigueBorges1734;52;224.400
Book0000027521;2023/07/18;2023/07/22;GaOliveira1587;49;897.600
Book0000027516;2023/07/18;2023/07/19;RúbSá1404;50;224.400
Book0000027509;2023/07/18;2023/07/20;IMatos1421;50;448.800
Book0000029246;2023/06/17;2023/06/19;SofAnjos;50;448.800
Book0000029242;2023/06/17;2023/06/21;CésaMendes1953;51;897.600
Book0000029240;2023/06/17;2023/06/21;AnTorres-Campos;51;897.600
Book0000029239;2023/06/17;2023/06/19;FerMacedo720;49;448.800
Book0000029227;2023/06/17;2023/06/19;RHenriques1210;52;448.800
Book0000029224;2023/06/17;2023/06/20;CCorreia;52;673.200
Book0000029222;2023/06/17;2023/06/19;MadalDomingues;52;448.800
Book0000029219;2023/06/17;2023/06/19;NCoelho-Costa;52;448.800
Book0000029217;2023/06/17;2023/06/18;JoanMagalhães-Alves;51;224.400
Book0000018583;2023/06/09;2023/06/12;ILourenço1019;50;673.200
Book0000018582;2023/06/09;2023/06/12;DaMarques109;51;673.200
Book0000018579;2023/06/09;2023/06/12;LMiranda318;49;673.200
Book0000018557;2023/06/09;2023/06/12;PaSousa;49;673.200
Book0000018556;2023/06/09;2023/06/11;PGomes324;51;448.800
Book0000018555;2023/06/09;2023/06/10;CAssunção896;50;224.400
Book0000018550;2023/06/09;2023/06/11;VMagalhães;52;448.800
Book0000018545;2023/06/09;2023/06/11;ÍDomingues;50;448.800
Book0000018536;2023/06/09;2023/06/13;CaetanAnjos;51;897.600
Book0000018530;2023/06/09;2023/06/10;WilMarques;50;224.400
Book0000001001;2023/05/10;2023/05/11;MatCorreia911;50;224.400
Book0000000991;2023/05/10;2023/05/13;JoaMelo-Morais216;52;673.200
Book0000000988;2023/05/10;2023/05/14;DiFreitas;51;897.600
Book0000000978;2023/05/10;2023/05/13;LPinho1980;51;673.200
Book0000000977;2023/05/10;2023/05/14;CristiaSá;52;897.600
Book0000000972;2023/05/10;2023/05/12;FernPinheiro787;49;448.800
Book0000000968;2023/05/10;2023/05/12;IPaiva1591;51;448.800
Book0000000961;2023/05/10;2023/05/14;PaulVieira1724;51;897.600
Book0000000954;2023/05/10;2023/05/12;Nair-DanMachado1756;52;448.800
Book0000000953;2023/05/10;2023/05/13;LBatista727;50;673.200
Book0000000951;2023/05/10;2023/05/14;Kelly-VerMarques;50;897.600
Book0000022209;2023/05/02;2023/05/05;GiLoureiro-Neto72;52;673.200
Book0000022206;2023/05/02;2023/05/04;EAntunes;52;448.800
Book0000022196;2023/05/02;2023/05/06;FraMacedo1181;49;897.600
Book0000022195;2023/05/02;2023/05/04;DéAntunes;49;448.800
Book0000022193;2023/05/02;2023/05/04;TiagCastro;52;448.800
Book0000022190;2023/05/02;2023/05/05;PaMatos130;52;673.200
Book0000022182;2023/05/02;2023/05/04;FernMachado;49;448.800
Book0000022178;2023/05/02;2023/05/04;SaMelo;52;448.800
