Book0000030221;2023/07/21;2023/07/25;ÂngRocha1874;51;652.800
Book0000030220;2023/07/21;2023/07/22;YaAnjos;52;163.200
Book0000030219;2023/07/21;2023/07/23;IsaOliveira562;52;326.400
Book0000030206;2023/07/21;2023/07/22;GabSá468;52;163.200
Book0000030205;2023/07/21;2023/07/24;FrMoura1715;51;489.600
Book0000030203;2023/07/21;2023/07/25;PeFerreira;49;652.800
Book0000030201;2023/07/21;2023/07/24;Violeta-MaBarbosa;49;489.600
Book0000030196;2023/07/21;2023/07/25;NoCampos;50;652.800
Book0000030189;2023/07/21;2023/07/23;MarCardoso1978;50;326.400
Book0000030188;2023/07/21;2023/07/23;CGonçalves829;51;326.400
Book0000030183;2023/07/21;2023/07/24;DanielPinto643;50;489.600
Book0000030182;2023/07/21;2023/07/24;LuíPereira;50;489.600
Book0000027566;2023/07/18;2023/07/21;HugMatias;49;489.600
Book0000027563;2023/07/18;2023/07/20;MCampos1895;51;326.400
Book0000027558;2023/07/18;2023/07/20;JBranco;52;326.400
Book0000027555;2023/07/18;2023/07/19;Helena-BFreitas;51;163.200
Book0000027550;2023/07/18;2023/07/21;RafaBaptista873;50;489.600
Book0000027546;2023/07/18;2023/07/19;LuciaPaiva657;50;163.200
Book0000027538;2023/07/18;2023/07/22;HuMendes1216;49;652.800
Book0000027531;2023/07/18;2023/07/19;MatVicente318;49;163.200
Book0000027513;2023/07/18;2023/07/19;LeandrGuerreiro;49;163.200
Book0000029247;2023/06/17;2023/06/21;AndreGarcia71;51;652.800
Book0000029235;2023/06/17;2023/06/21;AnCosta1969;51;652.800
Book0000029233;2023/06/17;2023/06/20;TiMagalhães-Amaral428;49;489.600
Book0000029223;2023/06/17;2023/06/21;AVieira;49;652.800
Book0000029208;2023/06/17;2023/06/21;GabriePinheiro;49;652.800
Book0000029202;2023/06/17;2023/06/21;GiSimões;52;652.800
Book0000029197;2023/06/17;2023/06/20;EriGaspar820;51;489.600
Book0000029196;2023/06/17;2023/06/18;RPaiva;50;163.200
Book0000029194;2023/06/17;2023/06/20;GuilPereira1773;50;489.600
Book0000029191;2023/06/17;2023/06/20;AAmaral;52;489.600
Book0000029190;2023/06/17;2023/06/21;MiriBranco1672;50;652.800
Book0000029186;2023/06/17;2023/06/20;LiMelo;52;489.600
Book0000029185;2023/06/17;2023/06/21;JéssSimões702;50;652.800
Book0000029184;2023/06/17;2023/06/18;MReis109;49;163.200
Book0000018580;2023/06/09;2023/06/12;TerDomingues920;52;489.600
Book0000018578;2023/06/09;2023/06/12;GRocha-Esteves;49;489.600
Book0000018577;2023/06/09;2023/06/10;AAssunção;49;163.200
Book0000018575;2023/06/09;2023/06/12;NicoBaptista-Soares432;49;489.600
Book0000018568;2023/06/09;2023/06/12;CésaSimões;50;489.600
Book0000018566;2023/06/09;2023/06/11;MauFreitas;52;326.400
Book0000018563;2023/06/09;2023/06/11;EmanJesus387;49;326.400
Book0000018560;2023/06/09;2023/06/11;NuBarros1484;50;326.400
Book0000018559;2023/06/09;2023/06/11;ÁAmorim;49;326.400
Book0000018553;2023/06/09;2023/06/13;MPereira;50;652.800
Book0000018549;2023/06/09;2023/06/12;JMoreira;51;489.600
Book0000018538;2023/06/09;2023/06/10;RLoureiro;52;163.200
Book0000018532;2023/06/09;2023/06/10;SMartins;52;163.200
Book0000000998;2023/05/10;2023/05/12;SaloCastro;49;326.400
Book0000000996;2023/05/10;2023/05/14;AniAraújo;49;652.800
Book0000000969;2023/05/10;2023/05/13;JorgAntunes1903;49;489.600
Book0000000962;2023/05/10;2023/05/14;InêBarbosa;50;652.800
Book0000000960;2023/05/10;2023/05/11;NGonçalves;51;163.200
Book0000000958;2023/05/10;2023/05/12;MiguMagalhães591;50;326.400
Book0000000957;2023/05/10;2023/05/13;NoPaiva1937;50;489.600
Book0000000956;2023/05/10;2023/05/14;PAssunção;52;652.800
Book0000000950;2023/05/10;2023/05/12;ValenMorais;52;326.400
Book0000000949;2023/05/10;2023/05/13;YBatista-Henriques199;49;489.600
Book0000000948;2023/05/10;2023/05/11;ToDomingues;52;163.200
Book0000000947;2023/05/10;2023/05/14;AliMiranda406;50;652.800
Book0000000944;2023/05/10;2023/05/14;RuAssunção377;49;652.800
Book0000000943;2023/05/10;2023/05/11;AfoFerreira480;52;163.200
Book0000000940;2023/05/10;2023/05/11;GustaFonseca;51;163.200
Book0000022208;2023/05/02;2023/05/03;DLeite1451;49;163.200
Book0000022207;2023/05/02;2023/05/06;ÍriNeto;50;652.800
Book0000022204;2023/05/02;2023/05/03;TPaiva1719;52;163.200
Book0000022200;2023/05/02;2023/05/04;LTavares1799;49;326.400
Book0000022198;2023/05/02;2023/05/04;MarcBorges558;51;326.400
Book0000022194;2023/05/02;2023/05/03;NGomes;51;163.200
Book0000022189;2023/05/02;2023/05/06;ClaSimões115;52;652.800
Book0000022180;2023/05/02;2023/05/06;HeGaspar;51;652.800
Book0000022177;2023/05/02;2023/05/04;NicolMelo;52;326.400
Book0000022175;2023/05/02;2023/05/06;LariMoura1255;52;652.800
Book0000022174;2023/05/02;2023/05/04;YaEsteves;51;326.400
Book0000022173;2023/05/02;2023/05/03;HelPereira;51;163.200
Book0000022171;2023/05/02;2023/05/06;ÉriHenriques1667;50;652.800
Book0000022160;2023/05/02;2023/05/04;IarCunha;49;326.400
Book0000005894;2023/04/11;2023/04/13;FraAbreu;50;326.400
Book0000005893;2023/04/11;2023/04/13;NunMagalhães248;49;326.400
Book0000005887;2023/04/11;2023/04/15;BárbaMachado22;51;652.800
Book0000005884;2023/04/11;2023/04/12;KévMachado;52;163.200
Book0000005881;2023/04/11;2023/04/15;ErikFerreira1657;49;652.800
Book0000005878;2023/04/11;2023/04/12;AnBorges;52;163.200
Book0000005863;2023/04/11;2023/04/14;SMota-Teixeira692;51;489.600
Book0000005862;2023/04/11;2023/04/12;SoraMelo667;52;163.200
Book0000005855;2023/04/11;2023/04/13;VaMiranda;49;326.400
Book0000027369;2023/03/12;2023/03/13;TomáPacheco277;50;163.200
Book0000027368;2023/03/12;2023/03/15;AnCarneiro;49;489.600
Book0000027361;2023/03/12;2023/03/13;FábiFaria;49;163.200
Book0000027355;2023/03/12;2023/03/15;DaviCorreia;49;489.600
Book0000027347;2023/03/12;2023/03/16;EOliveira;50;652.800
Book0000027346;2023/03/12;2023/03/14;CAlves;52;326.400
Book0000027328;2023/03/12;2023/03/15;JoãPires;51;489.600
Book0000027327;2023/03/12;2023/03/15;JosMagalhães395;51;489.600
Book0000027316;2023/03/12;2023/03/15;MargariRocha759;49;489.600
Book0000024155;2023/02/15;2023/02/18;SantMiranda708;51;489.600
Book0000024148;2023/02/15;2023/02/18;GuilherTorres;52;489.600
Book0000024139;2023/02/15;2023/02/18;Valentina-SoAndrade;49;489.600
Book0000024130;2023/02/15;2023/02/19;DiCorreia450;52;652.800
Book0000024125;2023/02/15;2023/02/19;FiliVaz1918;52;652.800
Book0000024122;2023/02/15;2023/02/16;LúciAlves;51;163.200
Book0000024121;2023/02/15;2023/02/19;LeonAnjos1116;51;652.800
Book0000024117;2023/02/15;2023/02/17;NOliveira1477;49;326.400
Book0000024114;2023/02/15;2023/02/19;NoMonteiro-Teixeira;51;652.800
Book0000019045;2023/02/15;2023/02/16;BiancRodrigues;51;163.200
Book0000019033;2023/02/15;2023/02/16;CAlves942;52;163.200
Book0000019031;2023/02/15;2023/02/17;WilVicente;50;326.400
